Entry_Date,Exit_Date,Holding_Days,Asset_Y,Asset_X,Hedge_Ratio,Entry_Value,Exit_Value,PnL,Return_%,Year
2018-03-22,2018-06-11,81,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-101.6960137852451,-143.64493144210962,-41.94891765686452,-0.4124932344491837,2018
2018-06-19,2018-07-23,34,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,66.47908749631915,137.60659433075216,71.127506834433,1.0699230316356438,2018
2018-08-24,2018-11-02,70,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-67.52924514270717,-47.62544250451924,19.903802638187926,0.294743449243745,2018
2019-02-19,2019-04-15,55,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-185.51457931197297,-109.82539321758009,75.68918609439288,0.4079958910782381,2019
2019-05-14,2019-06-10,27,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-316.7062565420522,-236.77824112509984,79.92801541695235,0.25237270740920625,2019
2019-07-10,2019-09-16,68,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,77.7167906096497,22.016444144250727,-55.70034646539898,-0.7167092983183861,2019
2019-10-03,2019-11-06,34,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-261.68690434401856,-53.07909822280658,208.60780612121198,0.7971656306001932,2019
2020-01-21,2020-02-05,15,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-130.90232901074933,-32.062317854471985,98.84001115627734,0.755066864762665,2020
2020-03-16,2020-03-20,4,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-188.58603016406528,-213.30997788915943,-24.72394772509415,-0.1311016924402349,2020
2020-03-24,2020-04-07,14,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-120.1437461427131,-24.90734836624756,95.23639777646554,0.7926871005282181,2020
2020-04-23,2020-06-01,39,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-224.50221828707595,-155.99260341961894,68.509614867457,0.3051623070372171,2020
2020-09-09,2020-09-17,8,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,127.60929838389416,272.12632113472614,144.51702275083198,1.132496021693289,2020
2020-09-29,2020-11-06,38,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-595.609619776734,-488.0878270657586,107.52179271097543,0.1805239357135976,2020
2020-12-14,2021-01-21,38,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,492.27841822998266,650.2790694343082,158.00065120432555,0.32095790786934475,2020
2021-02-19,2021-03-26,35,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-1096.4770995939614,-928.2113535429389,168.26574605102246,0.15346033776111995,2021
2021-05-05,2021-05-20,15,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-1501.0608838295882,-1260.1792871165342,240.88159671305402,0.16047423479486309,2021
2021-08-17,2021-09-08,22,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,-2504.6418779357136,-2171.309949555536,333.3319283801775,0.1330856643884372,2021
2021-09-30,2021-10-07,7,APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,1711.8709055421741,1390.4887992146896,-321.3821063274845,-0.18773734940351602,2021
