Asset_Y,Asset_X,Hedge_Ratio,Total_Trades,Avg_Holding_Period,Total_Return,Avg_Return,Median_Return,Win_rate,2018,2019,2020,2021,2022,2023,2024,2025,2026
ADANIPORTS.NS,CIPLA.NS,1.22,34,35.44,400.96,11.79,7.53,67.65,28.23,35.46,189.06,20.81,56.15,-4.81,71.05,5.0,
ADANIPORTS.NS,GRASIM.NS,1.04,37,34.95,145.41,3.93,4.23,62.16,5.06,1.19,74.61,21.94,2.56,3.81,24.54,11.71,
ADANIPORTS.NS,HINDALCO.NS,0.96,33,37.27,299.69,9.08,6.06,60.61,74.41,-5.27,27.85,23.67,17.93,82.13,-16.86,95.85,
APOLLOHOSP.NS,HCLTECH.NS,1.31,39,38.0,239.27,6.14,6.81,69.23,44.33,7.07,99.69,29.77,19.01,18.35,29.33,-8.28,
APOLLOHOSP.NS,TITAN.NS,1.27,37,33.62,684.47,18.5,15.88,75.68,95.22,74.08,335.58,85.33,28.0,78.63,-43.86,31.49,
BAJAJFINSV.NS,HDFCBANK.NS,1.85,37,38.86,7813.89,211.19,13.35,67.57,37.25,43.97,-15.62,-582.58,40.38,214.02,8039.1,41.8,-4.43
BAJAJFINSV.NS,KOTAKBANK.NS,2.18,34,38.53,5029.68,147.93,9.91,61.76,4561.83,169.98,291.15,-139.26,32.76,63.31,13.5,35.17,1.23
BAJFINANCE.NS,HDFCBANK.NS,2.03,37,36.62,145.06,3.92,5.7,72.97,-0.37,20.31,-23.73,25.59,75.41,38.81,5.3,3.74,
BAJFINANCE.NS,KOTAKBANK.NS,2.48,37,33.14,247.55,6.69,10.0,75.68,-2.13,23.32,11.7,10.82,50.83,117.15,70.96,-35.12,
CIPLA.NS,HCLTECH.NS,0.76,36,38.81,576.64,16.02,3.24,55.56,20.6,24.38,-16.41,118.4,368.11,-89.37,147.47,3.47,
DRREDDY.NS,NESTLEIND.NS,0.96,36,38.19,1411.83,39.22,40.41,61.11,-57.43,175.97,-195.0,583.72,240.99,-671.38,825.37,509.56,
DRREDDY.NS,RELIANCE.NS,0.87,36,42.64,528.27,14.67,36.41,69.44,646.0,331.31,-691.81,224.27,-59.45,-395.73,286.86,186.83,
EICHERMOT.NS,MARUTI.NS,1.35,38,33.29,130.76,3.44,3.82,68.42,5.93,-11.4,64.75,14.13,31.96,22.17,6.26,-3.03,
HDFCBANK.NS,ICICIBANK.NS,0.44,40,36.02,123.14,3.08,4.41,67.5,-13.47,13.22,-28.96,33.31,47.9,51.41,27.71,0.59,-8.57
HDFCBANK.NS,SBILIFE.NS,0.62,34,34.32,3981.07,117.09,21.75,64.71,686.16,-74.7,199.79,2586.2,392.15,38.07,-80.35,233.76,
HDFCBANK.NS,TECHM.NS,0.52,38,41.45,452.66,11.91,10.13,65.79,28.04,45.55,17.08,99.29,-11.9,28.7,91.71,154.19,
HINDALCO.NS,JSWSTEEL.NS,0.9,36,40.75,614.23,17.06,11.18,58.33,-68.88,198.08,3.94,313.22,118.4,-43.66,56.86,36.27,
KOTAKBANK.NS,NESTLEIND.NS,0.46,33,43.06,499.94,15.15,8.61,60.61,170.22,67.57,48.02,134.68,100.02,-28.34,10.35,-2.58,
KOTAKBANK.NS,SBILIFE.NS,0.46,39,31.92,2116.06,54.26,10.38,64.1,289.13,1767.82,-160.66,17.54,78.72,71.42,0.99,51.11,
SBILIFE.NS,TITAN.NS,0.62,41,35.66,417.93,10.19,19.0,58.54,13.72,28.02,193.38,0.11,60.82,22.5,23.16,76.21,
